module_count,strategy,row_count,profit,users,cost,deploy_cost,comm_cost,nodes,avg_modules,chain_count,avg_cost_per_user,avg_profit_per_user,ttft_ms,tpot_ms,queue_ms,prefill_pipeline_ms,decode_pipeline_interval_ms,avg_chain_time,total_deploy_time
3,lmp,36,1419.1055836752266,84.0,260.8944163247734,182.2533523833333,78.64106394144,1.0,3.0,1.0,3.105885908628254,16.894114091371744,250.67001319725023,4.976604873825533,0.0,214.7687020171355,4.492590568710788,0.00018665832208671112,0.00018665832208671112
3,multi_max_profit,36,1918.7772331485826,131.58333333333334,712.8894335180844,224.9296799777778,487.9597535403066,2.0833333333333335,1.5138888888888888,1.0,5.247821194917639,14.752178805082359,381.7016779524503,5.514169371813579,3.1579677144893348e-15,344.8487001056689,4.9825717333655,0.0008583277683808028,0.0008583277683808028
3,multi_max_user,36,1775.6198621341957,140.91666666666666,1042.7134711991375,233.30051262777775,809.41295857136,2.4722222222222223,1.2638888888888888,1.0,7.382755019481722,12.617244980518276,454.5583465305836,6.134864240910739,9.473903143468005e-15,417.5187020171355,5.593933269129327,0.0008612416568211694,0.0008612416568211694
3,shortest_path,36,1419.1055836752266,84.0,260.8944163247734,182.2533523833333,78.64106394144,1.0,3.0,1.0,3.1058859086282533,16.894114091371744,250.67001319725023,4.976604873825533,0.0,214.7687020171355,4.492590568710788,0.0029881500069879356,0.0029881500069879356
4,lmp,84,1411.0348902360379,84.0,268.96510976396183,182.25348270476192,86.71162705920001,1.0,4.0,1.0,3.201965592428117,16.798034407571883,250.70632925048798,5.006734402261073,0.0,214.8050180703733,4.522720097146325,0.0002368000014462821,0.0002368000014462821
4,multi_max_profit,84,1916.867128635901,137.17857142857142,826.7042999355274,229.9481442761905,596.7561556593372,2.3095238095238093,1.8452380952380953,1.0,5.858193045105918,14.141806954894083,401.32656523921185,5.546554687329776,4.060244204343431e-15,364.36168263052565,5.009361810786456,0.0012711595239427737,0.0012711595239427737
4,multi_max_user,84,1792.8762301441027,151.86904761904762,1244.5047222368496,243.12368180238096,1001.3810404344688,2.892857142857143,1.472222222222222,1.0,8.20383652803941,11.79616347196059,478.2270424829451,6.391333198362243,5.413658939124574e-15,440.96835035044944,5.839449845628449,0.0013138916554106357,0.0013138916554106357
4,shortest_path,84,1411.0348902360379,84.0,268.96510976396183,182.25348270476192,86.71162705920001,1.0,4.0,1.0,3.201965592428117,16.798034407571883,250.70632925048798,5.006734402261073,0.0,214.8050180703733,4.522720097146325,0.004860761910787782,0.004860761910787782
5,lmp,126,1406.3425357103417,84.0,273.65746428965844,182.2536491126984,91.40381517695997,1.0,5.0,1.0,3.257826955829267,16.742173044170734,250.74363218704406,5.036884169514665,0.0,214.84232100692932,4.552869864399917,0.0002759079400833881,0.0002759079400833881
5,multi_max_profit,126,1880.4243376310783,139.35714285714286,906.718519511779,231.90231614761905,674.8162033641601,2.507936507936508,2.1395502645502646,1.0,6.341854734132538,13.658145265867466,416.5682330210759,5.608794222453923,2.2556912246352393e-15,379.5597789838182,5.069422774482036,0.0016082690544573792,0.0016082690544573792
5,multi_max_user,126,1749.2332027018579,155.38888888888889,1358.5445750759197,246.2808400428571,1112.2637350330629,3.1825396825396823,1.6534391534391535,1.0,8.780645605375703,11.219354394624297,494.36632880530436,6.49691813349449,3.1579677144893348e-15,457.03723984741174,5.941514939490855,0.001630238894860965,0.001630238894860965
5,shortest_path,126,1406.3425357103417,84.0,273.6574642896584,182.2536491126984,91.40381517695997,1.0,5.0,1.0,3.257826955829266,16.742173044170734,250.74363218704406,5.036884169514665,0.0,214.84232100692932,4.552869864399917,0.006188869844042898,0.006188869844042898
6,lmp,126,1403.3393740897932,84.0,276.66062591020693,182.25381018412693,94.40681572607998,1.0,6.0,1.0,3.2935788798834174,16.706421120116584,250.78132987692763,5.067042032295476,0.0,214.88001869681295,4.583027727180733,0.00032296192107924117,0.00032296192107924117
6,multi_max_profit,126,1831.185492740391,137.73809523809524,923.5764120215134,230.45046247936503,693.1259495421486,2.619047619047619,2.4563492063492065,1.0,6.525929745549439,13.474070254450563,419.35386667276254,5.632536223970639,1.3534147347811435e-15,382.37779358788583,5.094783823617797,0.001872372220358983,0.001872372220358983
6,multi_max_user,126,1676.7480921580166,155.17460317460316,1426.7439713340468,246.088942731746,1180.6550286023007,3.4126984126984126,1.8214285714285714,1.0,9.264489912180329,10.735510087819671,512.8194226964323,6.640947795498779,3.1579677144893348e-15,475.4946194528255,6.085758887209429,0.0019468309501895077,0.0019468309501895077
6,shortest_path,126,1403.3393740897932,84.0,276.66062591020693,182.25381018412693,94.40681572607998,1.0,6.0,1.0,3.293578879883415,16.706421120116584,250.78132987692763,5.067042032295476,0.0,214.88001869681295,4.583027727180733,0.007933215884905675,0.007933215884905675
7,lmp,84,1401.3014764648683,84.0,278.6985235351314,182.25395732857146,96.44456620656001,1.0,7.0,1.0,3.317839565894422,16.682160434105576,250.81823806015632,5.097183704021849,0.0,214.91692688004167,4.613169398907103,0.00035996309902868454,0.00035996309902868454
7,multi_max_profit,84,1790.2105472850362,134.42857142857142,898.3608812863922,227.4824453738095,670.8784359125831,2.630952380952381,2.8402777777777777,1.0,6.50347108015473,13.496528919845266,413.4291865791659,5.615716410647947,2.0301221021717155e-15,376.5193039704797,5.081273534104629,0.0022699416676047876,0.0022699416676047876
7,multi_max_user,84,1594.5907424276572,152.97619047619048,1464.9330670961524,244.11748958809525,1220.8155775080572,3.5952380952380953,1.9930555555555554,1.0,9.667748808770687,10.332251191229313,534.6725204976422,6.88232021816397,3.3835368369528586e-15,497.3916855080036,6.3293297225730365,0.002356573800733706,0.002356573800733706
7,shortest_path,84,1401.3014764648683,84.0,278.69852353513136,182.25395732857146,96.44456620656001,1.0,7.0,1.0,3.317839565894421,16.682160434105576,250.81823806015632,5.097183704021849,0.0,214.91692688004167,4.613169398907103,0.009494315478063717,0.009494315478063717
8,lmp,36,1399.86689341592,84.0,280.13310658408,182.25407125,97.87903533407999,1.0,8.0,1.0,3.334917935524762,16.66508206447524,250.85386329507128,5.127299065284753,0.0,214.95255211495655,4.6432847601700065,0.00041588333099041116,0.00041588333099041116
8,multi_max_profit,36,1794.9985343854887,133.36111111111111,872.2236878367335,226.5252501,645.6984377367332,2.5277777777777777,3.3333333333333335,1.0,6.413283539494064,13.586716460505937,409.37330337044904,5.644125701010098,3.1579677144893348e-15,372.484769968112,5.110750284784241,0.0027044361082112084,0.0027044361082112084
8,multi_max_user,36,1482.6030893046757,148.02777777777777,1477.95246625088,239.67953566666665,1238.2729305842136,3.75,2.166666666666667,1.0,10.090500340010758,9.909499659989242,562.15108087516,7.2070406251493955,1.5789838572446674e-15,524.96921413949,6.658998542256871,0.0028539083561756056,0.0028539083561756056
8,shortest_path,36,1399.86689341592,84.0,280.13310658408,182.25407125,97.87903533407999,1.0,8.0,1.0,3.334917935524762,16.66508206447524,250.85386329507128,5.127299065284753,0.0,214.95255211495655,4.6432847601700065,0.010584394434570392,0.010584394434570392
